country,region,population,female,male
Afghanistan,Asia,32526562,61.9,59.3
Albania,Europe,2896679,80.7,75.1
Algeria,Africa,39666519,77.5,73.8
Angola,Africa,25021974,54,50.9
Antigua and Barbuda,Americas,91818,78.6,74.1
Argentina,Americas,43416755,79.9,72.7
Armenia,Asia,3017712,77.7,71.6
Australia,Oceania,23968973,84.8,80.9
Austria,Europe,8544586,83.9,79
Azerbaijan,Asia,9753968,75.8,69.6
Bahamas,Americas,388019,79.1,72.9
Bahrain,Asia,1377237,77.9,76.2
Bangladesh,Asia,160995642,73.1,70.6
Barbados,Americas,284215,77.9,73.1
Belarus,Europe,9495826,78,66.5
Belgium,Europe,11299192,83.5,78.6
Belize,Americas,359287,73.1,67.5
Benin,Africa,10879829,61.1,58.8
Bhutan,Asia,774830,70.1,69.5
Bolivia,Americas,10724705,73.3,68.2
Bosnia and Herzegovina,Europe,3810416,79.7,75
Botswana,Africa,2262485,68.1,63.3
Brazil,Americas,207847528,78.7,71.4
Bulgaria,Europe,7149787,78,71.1
Burkina Faso,Africa,18105570,60.5,59.1
Burundi,Africa,11178921,61.6,57.7
Cabo Verde,Africa,520502,75,71.3
Cambodia,Asia,15577899,70.7,66.6
Cameroon,Africa,23344179,58.6,55.9
Canada,Americas,35939927,84.1,80.2
Central African Republic,Africa,4900274,54.1,50.9
Chad,Africa,14037472,54.5,51.7
Chile,Americas,17948141,83.4,77.4
China,Asia,1376048943,77.6,74.6
Colombia,Americas,48228704,78.4,71.2
Comoros,Africa,788474,65.2,61.9
Congo,Africa,4620330,66.3,63.2
Costa Rica,Americas,4807850,82.2,77.1
Croatia,Europe,4240317,81.2,74.7
Cuba,Americas,11389562,81.4,76.9
Cyprus,Asia,1165300,82.7,78.3
Czech Republic,Europe,10543186,81.7,75.9
Democratic Republic of the Congo,Africa,77266814,61.5,58.3
Denmark,Europe,5669081,82.5,78.6
Djibouti,Africa,887861,65.3,61.8
Dominican Republic,Americas,10528391,77.1,70.9
Ecuador,Americas,16144363,79,73.5
Egypt,Africa,91508084,73.2,68.8
El Salvador,Americas,6126583,77.9,68.8
Equatorial Guinea,Africa,845060,60,56.6
Eritrea,Africa,5227791,67,62.4
Estonia,Europe,1312558,82,72.7
Ethiopia,Africa,99390750,66.8,62.8
Fiji,Oceania,892145,73.1,67
Finland,Europe,5503457,83.8,78.3
France,Europe,64395345,85.4,79.4
Gabon,Africa,1725292,67.2,64.7
Gambia,Africa,1990924,62.5,59.8
Georgia,Asia,3999812,78.3,70.3
Germany,Europe,80688545,83.4,78.7
Ghana,Africa,27409893,63.9,61
Greece,Europe,10954617,83.6,78.3
Grenada,Americas,106825,76.1,71.2
Guatemala,Americas,16342897,75.2,68.5
Guinea,Africa,12608590,59.8,58.2
Guinea-Bissau,Africa,1844325,60.5,57.2
